64,68,21,31,30,35,16,21,8,17,12,13,6,2,1,1,3,12,0,9,3,2,1,0,2,8,3,3,6,2,1,1,8,2,17,1,9,4,6,7,1,3,1,1,7,1,3,5,5,0,5,9,1,6,7,2,3,4,1,6,5,5,13,4,1,7,9,10,1,0,6,4,0,1,1,3,3,0,1,2,3,6,2,2,3,1,2,2,0,6,3,1,6,3,1,3,2,2,2,1
24,27,9,7,7,10,2,1,4,7,0,0,0,1,0,1,0,5,0,2,3,1,0,1,0,1,2,2,1,1,0,1,0,0,2,0,0,0,1,1,0,1,2,1,3,0,1,3,0,0,1,0,0,1,4,0,1,2,1,0,7,0,4,1,0,0,1,1,0,1,4,1,0,2,0,0,2,0,0,1,0,3,0,1,1,1,0,1,1,1,2,0,2,0,0,2,0,2,3,0
120,42,36,21,71,49,14,10,6,8,11,5,7,5,9,6,9,0,34,3,4,7,3,17,11,16,12,4,2,3,18,13,3,17,2,11,2,3,2,1,5,4,0,5,3,8,8,1,2,6,1,1,0,1,4,12,3,1,10,2,1,4,1,1,0,0,0,0,3,1,2,2,1,1,14,0,1,0,0,0,1,1,1,1,1,0,0,4,4,2,1,3,2,4,1,1,1,2,0,3
11,18,12,5,7,8,2,1,0,8,2,1,2,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,2,0,1,0,1,0,0,1,2,0,0,0,5,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,2,0,2,0,0,0,0,1,1,0,1,1,0,1,1,3,1,1
66,23,16,22,40,24,5,8,0,7,4,6,4,5,4,1,9,0,16,1,2,4,3,7,8,10,7,4,3,6,6,8,4,17,2,12,2,6,2,1,3,5,4,2,1,8,3,1,1,4,1,0,6,0,2,11,4,0,0,1,3,1,0,1,0,0,1,0,4,0,1,0,6,0,2,1,1,3,0,1,0,0,1,1,1,1,3,0,0,1,0,0,3,0,1,0,0,1,1,0
10,4,8,5,6,6,3,1,4,2,3,3,3,0,1,1,0,1,2,0,1,0,4,1,3,5,0,1,0,0,1,3,2,2,4,2,1,5,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,4
61,23,17,20,45,28,11,10,9,10,7,6,14,7,9,4,4,6,15,7,10,3,7,4,8,13,3,18,5,1,11,15,9,15,7,6,0,3,1,1,3,5,2,3,1,4,14,2,5,5,4,2,1,1,2,3,4,4,1,1,4,6,5,1,0,1,1,0,3,0,6,0,0,4,5,0,2,2,1,2,0,1,3,1,2,1,1,3,0,1,0,1,5,0,1,1,1,0,0,4
17,28,11,6,15,21,12,6,1,6,5,3,0,3,0,0,1,1,1,4,3,1,4,1,0,3,0,5,5,1,0,1,4,1,2,0,0,1,2,5,0,0,2,1,3,0,0,1,3,0,3,2,0,2,4,0,0,4,1,0,3,0,3,2,6,1,3,3,1,5,4,0,0,1,1,1,2,0,0,1,0,7,0,3,5,8,1,0,0,6,5,0,3,0,0,3,2,2,3,0
48,18,15,22,40,18,4,10,2,9,2,3,15,11,13,4,11,0,6,1,2,5,4,12,3,8,25,1,1,1,6,11,7,5,5,3,0,2,1,0,7,0,2,2,2,5,5,1,1,1,1,1,2,1,2,15,5,1,4,0,0,1,2,0,1,1,1,0,2,0,1,0,1,0,4,1,2,1,0,0,2,1,1,0,0,1,0,0,0,0,2,7,1,1,4,0,1,0,0,1
24,51,34,59,36,18,7,22,4,6,11,8,3,18,3,8,6,2,1,6,12,2,6,1,4,11,5,11,3,22,0,1,2,2,9,2,12,2,4,3,0,13,13,3,7,0,0,3,3,1,5,2,5,1,8,1,7,4,0,3,2,2,5,3,1,7,5,2,7,3,7,0,1,1,1,5,2,1,2,2,0,7,4,1,6,2,9,1,1,4,1,0,6,2,0,0,13,11,0,4
