117,290,94,244,105,236,306,102,141,178,43,81,90,109,59,215,127,48,133,86,80,43,50,78,39,68,29,98,69,100,72,129,191,105,37,34,70,50,39,55
538,163,157,71,180,130,44,625,26,34,179,345,339,32,35,39,81,25,164,412,16,938,862,26,42,31,240,641,377,114,106,18,47,11,88,152,78,23,11,311
641,451,157,152,165,543,139,698,86,83,169,648,960,69,52,180,100,32,733,897,46,943,1617,137,131,123,608,1692,364,144,422,80,219,61,110,166,91,55,32,398
748,458,407,254,609,305,118,724,61,77,358,371,302,61,104,73,236,59,268,394,62,1009,554,92,113,92,343,353,690,414,144,57,145,41,433,814,187,53,45,388
392,376,565,499,480,195,245,331,157,173,206,134,136,146,478,125,824,287,95,127,145,246,165,154,29,131,105,123,425,548,54,143,170,71,364,437,619,112,118,130
229,190,66,45,91,213,42,209,19,20,91,553,145,22,19,55,29,10,116,153,7,232,359,42,193,46,76,325,140,43,299,20,63,20,44,58,41,10,6,104
125,274,106,133,83,192,217,70,198,224,42,35,113,165,39,135,75,36,101,57,85,39,31,147,12,246,19,61,45,147,23,32,88,71,38,46,58,59,47,42
209,337,164,230,120,459,312,136,203,313,79,85,199,192,48,314,99,44,329,116,125,73,113,290,48,370,53,196,97,154,87,120,168,105,48,90,70,70,60,106
36,109,48,136,34,53,249,35,135,113,17,28,28,117,36,113,64,59,24,28,70,21,16,50,10,75,9,31,35,63,16,45,37,85,14,19,163,143,47,13
228,188,164,93,125,134,74,377,35,41,75,140,121,32,78,52,214,50,86,101,19,247,183,43,48,40,110,115,318,303,52,28,65,34,81,294,142,30,30,96
445,295,358,224,253,208,125,566,90,92,218,214,149,72,178,96,453,102,121,160,67,490,231,72,43,68,155,169,649,469,77,63,106,37,250,446,246,52,43,148
80,110,126,113,127,55,217,79,141,74,59,65,38,103,473,88,738,292,35,47,77,81,46,53,15,79,30,40,117,478,20,51,43,180,90,163,757,253,138,39
47,35,58,75,40,32,167,37,85,55,13,25,18,61,52,67,66,49,25,19,55,21,18,22,10,29,14,18,27,73,14,32,29,85,21,19,199,74,62,25
91,88,158,204,87,30,96,60,55,96,29,33,14,71,96,92,154,94,28,27,128,34,32,36,6,38,15,28,51,142,5,38,36,56,65,65,131,84,39,36
661,287,245,141,207,205,64,354,44,42,209,258,255,41,37,54,76,21,262,414,40,444,501,41,56,38,220,425,382,112,151,33,77,23,109,149,37,25,22,134
